"","filename","sample_name","ATTRIBUTE_shorthand"
"45","12-HLB_221116_neg_iaMSMS_02.mzML","mxaF_LCC_2uM_Nd2O3_#3","KO"
"46","12-HLB_221116_neg_iaMSMS_03.mzML","mxaF_LCC_2uM_Nd2O3_#3","KO"
"47","12-HLB_221116_neg_iaMSMS_04.mzML","mxaF_LCC_2uM_Nd2O3_#3","KO"
"48","13-HLB_221116_neg_iaMSMS_01.mzML","mxaF_50nM_Nd2O3_#3","WT_limited"
"49","13-HLB_221116_neg_iaMSMS_02.mzML","mxaF_50nM_Nd2O3_#3","WT_limited"
"50","13-HLB_221116_neg_iaMSMS_03.mzML","mxaF_50nM_Nd2O3_#3","WT_limited"
"51","13-HLB_221116_neg_iaMSMS_04.mzML","mxaF_50nM_Nd2O3_#3","WT_limited"
"52","14-HLB_221116_neg_iaMSMS_r01.mzML","mxaF_50nM_Nd2O3_#5","WT_limited"
"53","14-HLB_221116_neg_iaMSMS_r02.mzML","mxaF_50nM_Nd2O3_#5","WT_limited"
"54","14-HLB_221116_neg_iaMSMS_r03.mzML","mxaF_50nM_Nd2O3_#5","WT_limited"
"55","14-HLB_221116_neg_iaMSMS_r04.mzML","mxaF_50nM_Nd2O3_#5","WT_limited"
"56","15-HLB_221116_neg_iaMSMS_01.mzML","media_blank","media"
"57","15-HLB_221116_neg_iaMSMS_02.mzML","media_blank","media"
"58","15-HLB_221116_neg_iaMSMS_03.mzML","media_blank","media"
"59","15-HLB_221116_neg_iaMSMS_04.mzML","media_blank","media"
"60","16-HLB_221116_neg_iaMSMS_01.mzML","A7_2uM_Nd2O3_#1","overexpression"
"61","16-HLB_221116_neg_iaMSMS_02.mzML","A7_2uM_Nd2O3_#1","overexpression"
"62","16-HLB_221116_neg_iaMSMS_03.mzML","A7_2uM_Nd2O3_#1","overexpression"
"63","16-HLB_221116_neg_iaMSMS_04.mzML","A7_2uM_Nd2O3_#1","overexpression"
"64","17-HLB_221116_neg_iaMSMS_02.mzML","A7_2uM_Nd2O3_#5","overexpression"
"65","17-HLB_221116_neg_iaMSMS_03.mzML","A7_2uM_Nd2O3_#5","overexpression"
"66","17-HLB_221116_neg_iaMSMS_04.mzML","A7_2uM_Nd2O3_#5","overexpression"
"67","18-HLB_221116_neg_iaMSMS_04.mzML","A7_2uM_Nd2O3_#3","overexpression"
"68","19-HLB_221116_neg_iaMSMS_01.mzML","mxaF_50nM_Nd2O3_#4","WT_limited"
"69","19-HLB_221116_neg_iaMSMS_02.mzML","mxaF_50nM_Nd2O3_#4","WT_limited"
"70","19-HLB_221116_neg_iaMSMS_03.mzML","mxaF_50nM_Nd2O3_#4","WT_limited"
"71","19-HLB_221116_neg_iaMSMS_04.mzML","mxaF_50nM_Nd2O3_#4","WT_limited"
"72","20-HLB_221116_neg_iaMSMS_01.mzML","A7_2uM_Nd2O3_#2","overexpression"
"73","20-HLB_221116_neg_iaMSMS_02.mzML","A7_2uM_Nd2O3_#2","overexpression"
"74","20-HLB_221116_neg_iaMSMS_03.mzML","A7_2uM_Nd2O3_#2","overexpression"
"75","20-HLB_221116_neg_iaMSMS_04.mzML","A7_2uM_Nd2O3_#2","overexpression"
